Dates,Destination,InviaCode,Operator,MealType,Price,Hotel,Airport,Minute
29.7. - 5.8.,Korfu,21090,Electra Tours,All Inclusive,16 790 Kč,Alkyon,Praha,FM
5.8. - 12.8.,Korfu,21090,Electra Tours,All Inclusive,16 790 Kč,Alkyon,Praha,FM
12.8. - 19.8.,Korfu,21090,Electra Tours,All Inclusive,16 790 Kč,Alkyon,Praha,FM
19.8. - 26.8.,Korfu,21090,Electra Tours,All Inclusive,16 790 Kč,Alkyon,Praha,FM
26.8. - 2.9.,Korfu,21090,Electra Tours,All Inclusive,15 950 Kč,Alkyon,Praha,FM
2.9. - 9.9.,Korfu,21090,Electra Tours,All Inclusive,15 390 Kč,Alkyon,Praha,FM
9.9. - 16.9.,Korfu,21090,Electra Tours,All Inclusive,15 390 Kč,Alkyon,Praha,FM
7.6. - 11.6.,Rhodos,52988,Electra Tours,All Inclusive,14 350 Kč,Sunshine Rhodes,Praha,Last minute
29.6. - 2.7.,Rhodos,52988,Electra Tours,All Inclusive,13 490 Kč,Sunshine Rhodes,Praha,FM
9.7. - 23.7.,Rhodos,52988,Electra Tours,All Inclusive,43 350 Kč,Sunshine Rhodes,Praha,FM
13.7. - 16.7.,Rhodos,52988,Electra Tours,All Inclusive,15 350 Kč,Sunshine Rhodes,Praha,FM
13.7. - 27.7.,Rhodos,52988,Electra Tours,All Inclusive,40 890 Kč,Sunshine Rhodes,Praha,FM
14.7. - 28.7.,Rhodos,52988,Electra Tours,All Inclusive,40 890 Kč,Sunshine Rhodes,Brno,FM
15.7. - 22.7.,Rhodos,52988,Electra Tours,All Inclusive,24 390 Kč,Sunshine Rhodes,Praha,FM
16.7. - 30.7.,Rhodos,52988,Electra Tours,All Inclusive,40 890 Kč,Sunshine Rhodes,Praha,FM
19.7. - 23.7.,Rhodos,52988,Electra Tours,All Inclusive,19 250 Kč,Sunshine Rhodes,Praha,FM
20.7. - 30.7.,Rhodos,52988,Electra Tours,All Inclusive,30 050 Kč,Sunshine Rhodes,Praha,FM
5.6. - 12.6.,Rhodos,7965,Electra Tours,All Inclusive,15 450 Kč,Labranda Blue Bay Beach,Brno,FM
5.6. - 19.6.,Rhodos,7965,Electra Tours,All Inclusive,23 690 Kč,Labranda Blue Bay Beach,Brno,FM
6.6. - 13.6.,Rhodos,7965,Electra Tours,All Inclusive,15 190 Kč,Labranda Blue Bay Beach,Brno,FM
