Dates,Price,Destination,InviaCode,Operator,MealType
"
							28.5. - 4.6.
							(8 dní)
						",17190,Kreta,94882,Exim Tours,All Inclusive
"
							28.5. - 11.6.
							(15 dní)
						",26790,Kreta,94882,Exim Tours,All Inclusive
"
							30.4. - 7.5.
							(8 dní)
						",17590,Kreta,8368,Exim Tours,All Inclusive
"
							30.4. - 14.5.
							(15 dní)
						",26490,Kreta,8368,Exim Tours,All Inclusive
"
							7.5. - 14.5.
							(8 dní)
						",16830,Kreta,8368,Exim Tours,All Inclusive
"
							23.4. - 30.4.
							(8 dní)
						",19080,Kreta,8708,Exim Tours,All Inclusive
"
							23.4. - 30.4.
							(8 dní)
						",15390,Kreta,8708,Exim Tours,Polopenze
"
							27.5. - 3.6.
							(8 dní)
						",26330,Kreta,8708,Greece tours,All Inclusive
"
							23.4. - 30.4.
							(8 dní)
						",17190,Kreta,22949,Exim Tours,All Inclusive
"
							30.4. - 14.5.
							(15 dní)
						",27980,Kreta,22949,Exim Tours,All Inclusive
"
							7.5. - 14.5.
							(8 dní)
						",17509,Kreta,22949,Exim Tours,All Inclusive
"
							13.5. - 20.5.
							(8 dní)
						",19790,Kreta,54446,Pantour,All Inclusive
"
							1.6. - 8.6.
							(8 dní)
						",20590,Kreta,54446,Pantour,All Inclusive
"
							1.6. - 11.6.
							(11 dní)
						",28290,Kreta,54446,Pantour,All Inclusive
"
							13.5. - 20.5.
							(8 dní)
						",16590,Kreta,101702,Pantour,Polopenze
"
							13.5. - 20.5.
							(8 dní)
						",19390,Kreta,101702,Pantour,All Inclusive
"
							14.5. - 21.5.
							(8 dní)
						",18290,Kreta,101702,Pantour,Polopenze
"
							13.5. - 20.5.
							(8 dní)
						",11790,Kreta,73716,Pantour,All Inclusive
"
							14.5. - 21.5.
							(8 dní)
						",11070,Kreta,73716,Fischer 3 - spec.produkt,All Inclusive
"
							16.5. - 26.5.
							(11 dní)
						",15590,Kreta,73716,Pantour,All Inclusive
"
							9.4. - 16.4.
							(8 dní)
						",13890,Kreta,9063,Fischer 1 - cestovní kancelář,Light All inclusive
"
							9.4. - 16.4.
							(8 dní)
						",11390,Kreta,9063,Fischer 1 - cestovní kancelář,Polopenze
"
							16.4. - 23.4.
							(8 dní)
						",14190,Kreta,9063,Fischer 1 - cestovní kancelář,Light All inclusive
"
							13.5. - 20.5.
							(8 dní)
						",11680,Kreta,25975,Pantour,All Inclusive
"
							16.5. - 26.5.
							(11 dní)
						",15490,Kreta,25975,Pantour,All Inclusive
"
							19.5. - 2.6.
							(15 dní)
						",18190,Kreta,25975,Pantour,All Inclusive
"
							13.5. - 20.5.
							(8 dní)
						",10090,Kreta,26206,Pantour,Snídaně
"
							13.5. - 20.5.
							(8 dní)
						",12490,Kreta,26206,Pantour,Light All inclusive
"
							13.5. - 20.5.
							(8 dní)
						",10590,Kreta,26206,Pantour,Polopenze
"
							9.4. - 16.4.
							(8 dní)
						",12190,Kreta,7917,Exim Tours,Polopenze
"
							9.4. - 23.4.
							(15 dní)
						",15690,Kreta,7917,Exim Tours,Polopenze
"
							23.4. - 30.4.
							(8 dní)
						",12190,Kreta,7917,Exim Tours,Polopenze
"
							16.4. - 23.4.
							(8 dní)
						",17990,Kreta,35777,Exim Tours,All Inclusive
"
							23.4. - 30.4.
							(8 dní)
						",17890,Kreta,35777,Exim Tours,All Inclusive
"
							30.4. - 7.5.
							(8 dní)
						",18390,Kreta,35777,Exim Tours,All Inclusive
"
							17.3. - 24.3.
							(8 dní)
						",20230,Kreta,36543,Neckermann CZ,All Inclusive
"
							17.3. - 27.3.
							(11 dní)
						",22392,Kreta,36543,Neckermann CZ,All Inclusive
"
							17.3. - 28.3.
							(12 dní)
						",20444,Kreta,36543,Neckermann CZ,All Inclusive
"
							9.4. - 16.4.
							(8 dní)
						",14710,Kreta,49740,Fischer 1 - cestovní kancelář,All Inclusive
"
							16.4. - 23.4.
							(8 dní)
						",14710,Kreta,49740,Fischer 1 - cestovní kancelář,All Inclusive
"
							23.4. - 30.4.
							(8 dní)
						",14710,Kreta,49740,Fischer 1 - cestovní kancelář,All Inclusive
"
							10.4. - 15.4.
							(6 dní)
						",22315,Kreta,87764,Neckermann CZ,Polopenze
"
							10.4. - 17.4.
							(8 dní)
						",21417,Kreta,87764,Neckermann CZ,Polopenze
"
							10.4. - 20.4.
							(11 dní)
						",71578,Kreta,87764,Neckermann CZ,Polopenze
"
							14.5. - 21.5.
							(8 dní)
						",14650,Kreta,25799,Fischer 1 - cestovní kancelář,All Inclusive
"
							20.5. - 27.5.
							(8 dní)
						",15060,Kreta,25799,Fischer 1 - cestovní kancelář,All Inclusive
"
							21.5. - 28.5.
							(8 dní)
						",12690,Kreta,25799,Electra Tours,All Inclusive
"
							13.5. - 20.5.
							(8 dní)
						",10290,Kreta,8750,Pantour,Polopenze
"
							13.5. - 20.5.
							(8 dní)
						",11990,Kreta,8750,Pantour,All Inclusive
"
							14.5. - 21.5.
							(8 dní)
						",11980,Kreta,8750,Fischer 1 - cestovní kancelář,All Inclusive
"
							21.5. - 28.5.
							(8 dní)
						",16490,Kreta,49750,Exim Tours,All Inclusive
"
							28.5. - 4.6.
							(8 dní)
						",16490,Kreta,49750,Exim Tours,All Inclusive
"
							28.5. - 11.6.
							(15 dní)
						",24390,Kreta,49750,Exim Tours,All Inclusive
"
							13.5. - 20.5.
							(8 dní)
						",11190,Kreta,8405,Pantour,Polopenze
"
							13.5. - 20.5.
							(8 dní)
						",12790,Kreta,8405,Pantour,Plná penze
"
							14.5. - 21.5.
							(8 dní)
						",12480,Kreta,8405,Fischer 3 - spec.produkt,Plná penze
"
							1.6. - 8.6.
							(8 dní)
						",10980,Kreta,43586,Pantour,All Inclusive
"
							1.6. - 11.6.
							(11 dní)
						",14690,Kreta,43586,Pantour,All Inclusive
